sequence_name,gc_content,P2,RNA,terH,total_score
sample7449,55.27540729247479,0.02837326607818411,0.2455026455026455,0.00892510671323244,0
sample6499,50.30599755201958,0.027556644213104716,0.29376135675348275,0.014093137254901961,0
sample3722,42.32101616628176,0.025996533795493933,0.285385500575374,0.013294797687861272,0
sample4623,44.04761904761905,0.024051309460181722,0.248315189217211,0.00944558521560575,0
sample8806,36.8421052631579,0.023923444976076555,0.26605995717344755,0.0124123043712898,0
sample3186,37.65495867768595,0.023279875840662184,0.2597402597402597,0.011892450879007239,0
sample6089,52.27156712608474,0.02304147465437788,0.25241730279898217,0.01174668028600613,0
sample4223,49.74437627811861,0.023017902813299233,0.256004087889627,0.011794871794871795,0
sample3249,52.48478701825558,0.023006134969325152,0.25342118601115055,0.011663286004056795,0
sample4936,45.765306122448976,0.022970903522205207,0.25548189699133095,0.01174668028600613,0
sample2609,47.20528455284553,0.02288911495422177,0.25,0.011692933401118455,0
sample6191,55.214105793450884,0.022865853658536585,0.25113236034222447,0.011586901763224182,0
sample4387,46.80203045685279,0.022865853658536585,0.25495175215845606,0.011675126903553299,0
sample9118,30.456852791878173,0.022865853658536585,0.25291434363912824,0.01174068402246044,0
sample245,51.515151515151516,0.02276176024279211,0.2522704339051463,0.011627906976744186,0
sample4384,54.5088161209068,0.02275025278058645,0.25201612903225806,0.011592741935483871,0
sample6358,48.940464177598386,0.022704339051463168,0.25340737001514385,0.011622031328954016,0
sample7238,41.229838709677416,0.022704339051463168,0.24899396378269617,0.011592741935483871,0
sample353,45.495722194262704,0.0226928895612708,0.2523977788995457,0.011616161616161616,0
sample253,39.636913767019664,0.0226928895612708,0.25202020202020203,0.011627906976744186,0
sample351,54.53629032258065,0.022681451612903226,0.2518891687657431,0.011616161616161616,0
sample8056,35.214105793450884,0.022670025188916875,0.25113236034222447,0.011592741935483871,0
sample2936,50.27679919476598,0.022658610271903322,0.25303030303030305,0.011575239053850024,0
sample8102,38.914027149321264,0.02264720684448918,0.24962330487192366,0.01160443995963673,0
sample802,48.89336016096579,0.022635814889336015,0.2534142640364188,0.011698880976602238,0
sample5006,43.241895261845386,0.022613065326633167,0.24987531172069827,0.011471321695760598,0
sample9977,41.06425702811245,0.022613065326633167,0.25125628140703515,0.011546184738955823,0
sample2135,43.395278754394774,0.022601707684580613,0.25176233635448136,0.011598587997982855,0
sample9390,42.42728184553661,0.022590361445783132,0.2511278195488722,0.01154039136979428,0
sample1383,35.893574297188756,0.022590361445783132,0.2503763171098846,0.011752682677567705,0
sample6596,54.6046046046046,0.022579026593075764,0.25075225677031093,0.011511511511511512,0
sample7039,35.18518518518518,0.022556390977443608,0.25,0.011551983927674536,0
sample1075,37.456184276414625,0.022533800701051578,0.2496248124062031,0.011610297829379102,0
sample860,36.6,0.022533800701051578,0.24987506246876562,0.011534603811434303,0
sample7416,29.62962962962963,0.022533800701051578,0.24688279301745636,0.011575239053850024,0
sample1069,35.53553553553554,0.02252252252252252,0.2527805864509606,0.011563599798893917,0
sample2718,66.11940298507463,0.022488755622188907,0.20442520442520443,0.011442786069651741,0
sample8466,45.47713717693837,0.022488755622188907,0.24962705121829937,0.0114598903836572,0
sample785,34.39522150323544,0.022488755622188907,0.24813525609149678,0.011465603190428714,0
sample8665,30.872817955112218,0.022488755622188907,0.2488778054862843,0.011482775836245632,0
sample8095,24.98755599800896,0.022488755622188907,0.2462686567164179,0.011627906976744186,0
sample942,50.37443834248627,0.022477522477522476,0.25125125125125125,0.011482775836245632,0
sample557,30.94883258817685,0.022466300549176237,0.24788872329855938,0.011437095972153158,0
sample1897,36.70822942643392,0.02245508982035928,0.25062406390414377,0.011494252873563218,0
sample1613,30.788423153692616,0.02245508982035928,0.24937655860349128,0.011494252873563218,0
sample2317,40.95665171898356,0.022443890274314215,0.24825870646766168,0.011465603190428714,0
sample928,37.1072319201995,0.022443890274314215,0.2502502502502503,0.011482775836245632,0
sample1054,41.15595416043846,0.02243270189431705,0.2497507477567298,0.01154039136979428,0
sample3933,33.698903290129614,0.02243270189431705,0.24788451966152314,0.011482775836245632,0
sample2516,45.92039800995025,0.02242152466367713,0.25,0.011465603190428714,0
sample7631,46.56374501992032,0.022410358565737053,0.251,0.011482775836245632,0
sample5778,45.25222551928783,0.022410358565737053,0.24814264487369986,0.011408730158730158,0
sample7171,37.2636815920398,0.022410358565737053,0.24615384615384617,0.0114598903836572,0
sample6404,36.232604373757454,0.022410358565737053,0.24962705121829937,0.01143141153081511,0
sample7651,37.60556383507203,0.022399203583872575,0.24690133862171543,0.011437095972153158,0
sample6622,33.94723743155799,0.022399203583872575,0.24627606752730885,0.011569416498993963,0
sample1758,44.26229508196721,0.022388059701492536,0.24925373134328357,0.011425732737208148,0
sample8205,36.61691542288557,0.022388059701492536,0.2502492522432702,0.011448481831757094,0
sample2729,34.62686567164179,0.022388059701492536,0.2488778054862843,0.011448481831757094,0
sample5010,44.604674291397316,0.022376926902038786,0.24925224327018944,0.011598587997982855,0
sample1450,51.584158415841586,0.022365805168986085,0.24740227610094012,0.011397423191278493,0
sample2074,34.241823587710606,0.022365805168986085,0.24702970297029703,0.011420059582919563,0
sample4678,29.692154915590866,0.022365805168986085,0.2472636815920398,0.011420059582919563,0
sample9712,49.578582052553294,0.022343594836146972,0.2491315136476427,0.0115,0
sample2351,46.439169139465875,0.022343594836146972,0.24727452923686818,0.011374876360039565,0
sample8457,57.43310208126858,0.022332506203473945,0.24752475247524752,0.011403073872087258,0
sample7221,52.402179296681524,0.022332506203473945,0.2487611496531219,0.011391778107974244,0
sample5382,31.166253101736974,0.022332506203473945,0.24776119402985075,0.011425732737208148,0
sample6803,49.404761904761905,0.022321428571428572,0.24925521350546176,0.011471321695760598,0
sample9505,46.51162790697674,0.022321428571428572,0.24665676077265974,0.011391778107974244,0
sample8605,40.83250743310208,0.022321428571428572,0.2478929102627665,0.011425732737208148,0
sample6256,34.573412698412696,0.022321428571428572,0.2413452027695351,0.01143141153081511,0
sample8829,30.87215064420218,0.022321428571428572,0.24381800197823936,0.01141439205955335,0
sample5479,50.49407114624506,0.022310361923648984,0.2487611496531219,0.011437095972153158,0
sample3486,47.43336623889437,0.022299306243805748,0.24777887462981243,0.011386138613861386,0
sample6224,36.818632309217044,0.022299306243805748,0.2477656405163853,0.011420059582919563,0
sample6092,33.38278931750742,0.022299306243805748,0.24764735017335315,0.011534603811434303,0
sample8003,33.34982681840673,0.022299306243805748,0.2483918852053439,0.011408730158730158,0
sample9714,30.004943153732082,0.022299306243805748,0.24666337123084528,0.011471321695760598,0
sample6279,28.168316831683168,0.022288261515601784,0.24481737413622903,0.011437095972153158,0
sample8642,38.19891142998516,0.022277227722772276,0.2487611496531219,0.011442786069651741,0
sample2947,35.57644730331519,0.022277227722772276,0.24777006937561943,0.011380504700643246,0
sample1357,34.72700442695524,0.022277227722772276,0.24545007378258732,0.011324470704086657,0
sample7808,57.21343873517787,0.022266204849084613,0.2473919523099851,0.011363636363636364,0
sample9872,51.92307692307692,0.022266204849084613,0.24691966485953673,0.011346817957572768,0
sample7723,46.6864490603363,0.022266204849084613,0.248388696083292,0.01143141153081511,0
sample4278,38.94111825828798,0.022266204849084613,0.24666337123084528,0.011408730158730158,0
sample4351,36.925358378645576,0.022266204849084613,0.2476520019772615,0.011397423191278493,0
sample5621,33.31688055281342,0.022266204849084613,0.24777887462981243,0.011397423191278493,0
sample5111,31.141868512110726,0.022266204849084613,0.24568327577701035,0.011397423191278493,0
sample9282,26.864197530864196,0.022266204849084613,0.24139626352015733,0.011358024691358024,0
sample5825,45.61143984220907,0.02225519287833828,0.25251509054325955,0.011341222879684419,0
